name,calories,fat,carbs,restaurant
A&amp;W® Diet Root Beer,0,0,0,A&W Restaurants
Chicken Strips- 3 pieces,500,29,32,A&W Restaurants
Corn Dog Nuggets® (Regular),280,13,32,A&W Restaurants
M&amp;M's® Polar Swirl®,710,25,107,A&W Restaurants
Vanilla Cone (large),260,7,41,A&W Restaurants
Strawberry Sundae,300,8,47,A&W Restaurants
Pineapple Banana Smoothee,480,6,104,A&W Restaurants
Reese's® Peanut Butter Fudge Blendrrr,1360,79,203,A&W Restaurants
Limeade,390,0,103,A&W Restaurants
Cherry Slushee,450,0,112,A&W Restaurants
Lemon Slushee,890,0,221,A&W Restaurants
A&amp;W® Root Beer,220,0,58,A&W Restaurants
A&amp;W® Diet Root Beer,0,0,0,A&W Restaurants
Crispy Chicken Sandwich,550,25,52,A&W Restaurants
Corn Dog Nuggets® (Small/ Kids),180,8,20,A&W Restaurants
Extra Burger Patty,170,12,2,A&W Restaurants
Vanilla Cone (regular),200,5,32,A&W Restaurants
Orange Freeze (medium),970,18,223,A&W Restaurants
A&amp;W® Diet Root Beer Float (large),350,10,60,A&W Restaurants
Pineapple Banana Smoothee,400,6,85,A&W Restaurants
Reese's® Peanut Butter Fudge Blendrrr,710,41,108,A&W Restaurants
Limeade,250,0,66,A&W Restaurants
Cherry Slushee,330,0,83,A&W Restaurants
Lemon Slushee,560,0,139,A&W Restaurants
A&amp;W® Root Beer,160,0,43,A&W Restaurants
A&amp;W® Diet Root Beer,0,0,0,A&W Restaurants
Papa Burger®,690,39,44,A&W Restaurants
Crunchy Shrimp,340,19,34,A&W Restaurants
Chili Cheese Fries,410,17,52,A&W Restaurants
Oreo® Polar Swirl®,690,24,107,A&W Restaurants
A&amp;W® Root Beer Freeze (small),370,8,68,A&W Restaurants
Chocolate Sundae,320,8,53,A&W Restaurants
Pineapple Banana Smoothee,750,10,160,A&W Restaurants
Chocolate Fudge Blendrrr,490,30,68,A&W Restaurants
Strawberry Limeade,230,0,58,A&W Restaurants
Cherry Slushee,570,0,141,A&W Restaurants
Lime Slushee,280,0,69,A&W Restaurants
A&amp;W® Root Beer,270,0,72,A&W Restaurants
Applebee’s House Salad (without dressing),180,15,12,Applebee's
Baked Potato,430,28,42,Applebee's
"Boneless Wings, Southern BBQ",1110,55,83,Applebee's
"Bruschetta Chicken Salad, Half w/o dressing ",580,30,40,Applebee's
Cheese Quesadilla Grande,1130,87,85,Applebee's
Chicken Fettuccine Carbonara ,1440,82,107,Applebee's
Chicken Tortilla Soup,140,7,12,Applebee's
Classic Club House Grill,1150,67,77,Applebee's
"Crunchy Onion Rings, Side",530,28,63,Applebee's
French Onion Soup ,260,14,16,Applebee's
Frozen Lemonades,255,0,64,Applebee's
Grilled Shrimp ‘N Spinach Salad,260,15,20,Applebee's
"Grilled Steak Caesar, Half w/o dressing",230,10,11,Applebee's
House Sirloin,250,12,0,Applebee's
Kids Grape Juice (6.75 oz),80,0,20,Applebee's
Kids Mini Hamburger – 1,390,27,23,Applebee's
Kids Vanilla Sundae with Hershey’s Syrup,330,14,49,Applebee's
Oriental Chicken Salad,420,29,25,Applebee's
"Pecan-Crusted Chicken Salad, Half",820,48,72,Applebee's
Queso Blanco,1330,82,114,Applebee's
"Santa Fe Chicken Salad, Regular w/o dressing",870,56,52,Applebee's
Sizzling Skillet Fajitas - Combo,1430,60,150,Applebee's
Spinach &amp; Artichoke Dip,1525,102,124,Applebee's
Teriyaki Chicken Pasta ,450,8,73,Applebee's
Trios Chicken Quesadilla Grande,650,47,44,Applebee's
Trios Spinach Artichoke Dip,560,39,41,Applebee's
Weight Watchers® Spicy Pineapple Glazed Shrimp &amp; Spinach ,310,5,48,Applebee's
Applebee’s House Salad,180,15,12,Applebee's
Bacon Cheese Chicken Grill,750,33,50,Applebee's
"Boneless Wings, Hot Buffalo",1170,69,67,Applebee's
"Bruschetta Chicken Salad, Half ",740,44,45,Applebee's
California Turkey Club,970,55,60,Applebee's
Chicken Fajita Rollup,560,41,45,Applebee's
Chicken Tortilla Soup,180,8,18,Applebee's
Clam Chowder,290,20,16,Applebee's
Crunchy Onion Rings,1290,56,181,Applebee's
French Dip Sliders,590,36,50,Applebee's
"Fries, Side",390,18,53,Applebee's
Grilled Dijon Chicken &amp; Portobellos ,470,16,30,Applebee's
"Grilled Steak Caesar, Half",460,34,13,Applebee's
House Sirloin,310,13,0,Applebee's
Kids Fried Shrimp,230,14,16,Applebee's
Kids Mini Cheeseburgers – 2,740,46,47,Applebee's
Kids Vanilla Sundae,230,14,24,Applebee's
Oriental Chicken Rollup,1160,60,121,Applebee's
"Oriental Grilled Chicken Salad, Regular w/o dressing",590,19,58,Applebee's
Quesadilla Burger,1240,103,44,Applebee's
"Santa Fe Chicken Salad, Regular",1240,93,58,Applebee's
Sizzling Skillet Fajitas - Chicken,1370,52,149,Applebee's
Spicy Chili Cheese Nachos,1610,103,125,Applebee's
Stuffed Meatball Sandwich,1090,58,90,Applebee's
Trios Cheeseburger Sliders,880,59,55,Applebee's
Trios Spicy Queso Blanco,520,33,40,Applebee's
Weight Watchers® Paradise Chicken Salad ,340,4,6,Applebee's
Appetizer Sampler,2375,162,169,Applebee's
Applebee’s Riblets Basket  ,1115,55,92,Applebee's
Black Bean Soup,190,9,21,Applebee's
Breadstick,290,19,22,Applebee's
Cajun Shrimp Pasta ,1170,69,95,Applebee's
Cheeseburger Sliders with Applewood Smoked Bacon,1330,87,83,Applebee's
Chicken Noodle Soup,110,3,11,Applebee's
Chili Cheese Nachos,1680,107,134,Applebee's
"Classic Wings, Southern BBQ",660,35,25,Applebee's
Double-Glazed Baby Back Ribs - Half Rack  ,935,49,88,Applebee's
"Fried Chicken Salad, Half w/o dressing",310,23,12,Applebee's
"Grilled Chicken Caesar, Half w/o dressing ",180,5,10,Applebee's
"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing",680,51,20,Applebee's
Hand-Battered Fish &amp; Chips ,1570,106,108,Applebee's
Kids Celery side with Dressing,220,22,5,Applebee's
Kids Hot Dog,330,18,31,Applebee's
Kids OREO® Cookie Sundae,360,19,43,Applebee's
Margherita Chicken ,800,30,67,Applebee's
"Oriental Chicken Salad, Regular w/o dressing",680,41,50,Applebee's
Philly Burger,1130,67,70,Applebee's
Riblet and Chicken Tenders Basket ,1295,73,103,Applebee's
Signature Sirloin with Garlic Herb Shrimp,500,21,31,Applebee's
Sizzling Steak &amp; Cheese,1050,65,49,Applebee's
Steak &amp; Honey BBQ Chicken Combo,600,15,37,Applebee's
Toasted Garlic Bread Basket ,1120,78,89,Applebee's
"Trios Boneless Wings, Honey BBQ",620,28,58,Applebee's
"Trios Classic Wings, Southern BBQ",330,17,13,Applebee's
Triple Chocolate Meltdown® ,820,48,97,Applebee's
Wonton Tacos,495,23,45,Applebee's
"Apple Walnut Chicken Salad, Half",630,43,33,Applebee's
Applebee’s Riblets Platter  ,1705,86,134,Applebee's
Blackened Tilapia Sandwich,740,42,54,Applebee's
Broccoli Cheddar Soup,340,26,19,Applebee's
"California Shrimp Salad, Half ",500,42,16,Applebee's
Cheesy Corn ,350,20,28,Applebee's
Chicken Parmesan Stack ,1690,95,130,Applebee's
Chips and Spicy Chipotle Lime Salsa,960,53,106,Applebee's
"Classic Wings, Sweet &amp; spicy sauce",690,35,32,Applebee's
Fiesta Lime Chicken® ,1160,67,94,Applebee's
"Fried Chicken Salad, Regular",980,79,50,Applebee's
"Grilled Chicken Caesar, Regular ",820,57,25,Applebee's
Hand-Battered Fish Sandwich,860,58,63,Applebee's
Kids Cheese Pizza,550,31,44,Applebee's
Kids Hot Fudge Sundae,350,18,45,Applebee's
Kids Pasta with Marinara Sauce,360,7,60,Applebee's
Mozzarella Sticks,940,48,84,Applebee's
Oriental Grilled Chicken Salad,430,21,36,Applebee's
Pork Wonton Tacos,820,41,68,Applebee's
Riblet and Chicken Tenders Platter ,1800,101,136,Applebee's
Sizzling Apple Pie ,900,33,145,Applebee's
Slow Simmered Tender Beef Sandwich,980,50,101,Applebee's
Steak &amp; Riblets Combo,985,49,39,Applebee's
Tomato Basil Soup,220,13,22,Applebee's
"Trios Boneless Wings, Hot Buffalo",590,35,33,Applebee's
"Trios Classic Wings, Sweet &amp; spicy sauce",350,18,16,Applebee's
Veggie Burger,550,22,60,Applebee's
Zesty Ranch Chicken Sandwich,1150,73,76,Applebee's
Applebee’s Limeades,130,0,59,Applebee's
Baked Potato Soup,420,32,27,Applebee's
"Boneless Wings, Sweet &amp; spicy sauce",1150,55,90,Applebee's
"Bruschetta Chicken Salad, Regular ",1110,66,67,Applebee's
Cheeseburger,940,58,52,Applebee's
Chicken Fried Chicken ,1230,59,112,Applebee's
Chili,310,26,10,Applebee's
"Classic Wings, Classic Buffalo",710,49,8,Applebee's
Decadent Shakes,915,46,109,Applebee's
"Fresh Fruit, Side",90,0,24,Applebee's
Garlic Herb Salmon ,690,29,61,Applebee's
"Grilled Shrimp ‘N Spinach Salad, Half",620,44,33,Applebee's
"Grilled Steak Caesar, Regular",910,68,25,Applebee's
Kids 4oz Sirloin Steak,140,7,0,Applebee's
Kids Grilled Cheese (Hawaiian bread),610,36,51,Applebee's
Kids Mini Hamburger – 2,660,40,46,Applebee's
Loaded Baked Potato  ,500,35,42,Applebee's
"Oriental Chicken Salad, Half",670,49,42,Applebee's
"Pecan-Crusted Chicken Salad, Half w/o dressing",580,31,53,Applebee's
Queso Blanco with chili,1440,89,118,Applebee's
"Seasonal Vegetables, Side",42,0,8,Applebee's
Sizzling Skillet Fajitas - Shrimp,1400,65,151,Applebee's
Spinach Salad,230,15,19,Applebee's
Teriyaki Shrimp Pasta ,440,8,74,Applebee's
Topper - Sautéed Garlic Mushrooms,130,12,4,Applebee's
"Trios Classic Wings, Classic Buffalo",360,24,4,Applebee's
Trios Steak Quesadilla Towers,560,38,37,Applebee's
Weight Watchers® Steak &amp; Potato Salad ,380,12,32,Applebee's
Add Grilled Shrimp ,230,17,2,Applebee's
Applebee’s Reuben,630,47,25,Applebee's
BBQ Pulled Pork Sliders,1030,48,90,Applebee's
Bourbon Street Steak,760,44,35,Applebee's
Caesar Salad,220,19,8,Applebee's
Cheeseburger Sliders add bacon,1330,87,83,Applebee's
Chicken Noodle Soup,160,4,17,Applebee's
"Chili Cheese Fries, Side",550,33,59,Applebee's
"Classic Wings, Hot Buffalo",720,49,9,Applebee's
Double-Glazed Baby Back Ribs  ,1345,72,95,Applebee's
"Fried Chicken Salad, Half",530,42,26,Applebee's
"Grilled Chicken Caesar, Half",410,29,12,Applebee's
"Grilled Shrimp ‘N Spinach Salad, Regular",1010,69,63,Applebee's
Hamburger,790,46,50,Applebee's
Kids Applesauce side,50,0,27,Applebee's
Kids Grilled Chicken Sandwich,230,5,23,Applebee's
Kids OREO® Cookie Milkshake,780,41,97,Applebee's
Maple Butter Blondie ,1100,63,115,Applebee's
"Oriental Chicken Salad, Regular",1340,98,85,Applebee's
"Pecan-Crusted Chicken Salad, Regular w/o dressing",880,46,76,Applebee's
Ribeye,670,47,3,Applebee's
Shrimp Fettuccine Alfredo ,143,81,113,Applebee's
Sizzling Smokehouse Chicken Stack ,1170,59,78,Applebee's
Steak &amp; Grilled Shrimp Combo,540,36,2,Applebee's
Three-Cheese Chicken Penne ,1460,75,127,Applebee's
"Trios Boneless Wings, Classic Buffalo",580,35,33,Applebee's
"Trios Classic Wings, Hot Buffalo",360,25,4,Applebee's
Trios Wings Ranch Dipping Sauce,200,21,1,Applebee's
Wings Ranch Dipping Sauce,200,21,1,Applebee's
Add Fried Shrimp  ,390,21,35,Applebee's
Applebee’s Reuben,1140,81,49,Applebee's
Baked Potato Soup,360,28,20,Applebee's
Bourbon Street Chicken &amp; Shrimp,750,45,31,Applebee's
"Bruschetta Chicken Salad, Regular w/o dressing ",790,36,56,Applebee's
Cheeseburger Sliders,1270,82,82,Applebee's
"Chicken Fried Steak (includes mashed potato, gravy &amp; vegetable)",1260,61,118,Applebee's
Chili ,370,28,16,Applebee's
"Classic Wings, Honey BBQ",790,35,59,Applebee's
Double Crunch Shrimp ,1280,69,133,Applebee's
Fried Chicken Salad,380,27,20,Applebee's
Garlic Mashed Potatoes  ,330,18,38,Applebee's
"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",460,35,12,Applebee's
"Grilled Steak Caesar, Regular w/o dressing",460,21,21,Applebee's
Kids Apple Juice (6.75 oz),70,0,17,Applebee's
Kids Grilled Cheese (sourdough bread),630,36,54,Applebee's
Kids Orange-Tangerine Juice (6.75 oz),70,0,17,Applebee's
Loaded Mashed Potatoes ,550,42,41,Applebee's
"Oriental Chicken Salad, Half w/o dressing",340,20,25,Applebee's
"Pecan-Crusted Chicken Salad, Regular",1350,80,114,Applebee's
Red Beans &amp; Rice  ,290,6,48,Applebee's
Shrimp ‘N Parmesan Sirloin,660,42,4,Applebee's
Sizzling Skillet Fajitas - Steak,1410,55,152,Applebee's
Steak &amp; Fried Shrimp Combo,650,34,37,Applebee's
Three-Cheese Chicken Penne,940,49,77,Applebee's
Topper - Shrimp ‘N Parmesan,230,15,4,Applebee's
"Trios Classic Wings, Honey BBQ",400,17,29,Applebee's
Trios Wings Bleu Cheese Dipping Sauce,240,26,1,Applebee's
Wings Bleu Cheese Dipping Sauce,240,26,1,Applebee's
"Apple Walnut Chicken Salad, Half w/o dressing",350,20,15,Applebee's
Asiago Peppercorn Steak,380,14,25,Applebee's
Blue Ribbon Brownie ,1310,63,176,Applebee's
Broccoli Cheddar Soup,280,23,12,Applebee's
"California Shrimp Salad, Half w/o dressing ",330,23,14,Applebee's
Chicken Broccoli Pasta Alfredo ,1350,72,111,Applebee's
Chicken Quesadilla Grande,1290,90,90,Applebee's
Chocolate Chip Cookie Sundae ,154,74,210,Applebee's
Cole Slaw,140,9,15,Applebee's
Fire Pit Bacon Burger,1100,73,53,Applebee's
"Fried Chicken Salad, Regular w/o dressing",540,42,23,Applebee's
"Grilled Chicken Caesar, Regular w/o dressing ",370,10,21,Applebee's
Honey BBQ Chicken Sandwich,1000,42,87,Applebee's
Kids Chicken Tenders,240,14,11,Applebee's
Kids Kraft Macaroni and Cheese,300,9,45,Applebee's
Kids Steamed Broccoli Side,30,0,4,Applebee's
New England Fish &amp; Chips ,1930,138,121,Applebee's
"Oriental Grilled Chicken Salad, Half",680,40,55,Applebee's
Potato Skins,1090,103,66,Applebee's
Santa Fe Chicken Salad,530,37,28,Applebee's
Sizzling Asian Shrimp,850,33,118,Applebee's
Small Caesar Salad (with dressing) ,310,27,12,Applebee's
Steak Quesadilla Towers,1110,73,79,Applebee's
Tomato Basil Soup ,250,14,28,Applebee's
"Trios Boneless Wings, Southern BBQ",550,28,42,Applebee's
Trios Grilled Chicken Wonton Tacos,430,18,43,Applebee's
Veggie Patch™ Pizza,930,67,50,Applebee's
"Apple Walnut Chicken Salad, Regular",1030,67,54,Applebee's
Asiago Peppercorn Steak w/sides,380,14,25,Applebee's
"Boneless Wings, Classic Buffalo",1160,69,66,Applebee's
Brownie Bite,360,17,49,Applebee's
"California Shrimp Salad, Regular ",740,61,21,Applebee's
Chicken Caesar Salad,310,20,8,Applebee's
Chicken Tenders Basket ,102,60,85,Applebee's
Chocolate Mousse Shooter ,450,31,42,Applebee's
Cowboy Burger,1180,70,77,Applebee's
Florentine Ravioli with Chicken ,1300,82,77,Applebee's
Fried Red Potatoes,150,5,22,Applebee's
Grilled Chicken Wonton Tacos,590,24,58,Applebee's
Hot Fudge Sundae Shooter,350,18,43,Applebee's
Kids Chocolate Milk (1% 8oz),215,4,36,Applebee's
Kids Milk (1% or 2% 8 oz),130,4,14,Applebee's
Kids Strawberry Sundae,260,14,31,Applebee's
New York Strip,480,24,1,Applebee's
"Oriental Grilled Chicken Salad, Half w/o dressing",340,9,38,Applebee's
Potato Twisters,970,60,81,Applebee's
"Santa Fe Chicken Salad, Half",940,73,52,Applebee's
Sizzling Cajun Steak &amp; Shrimp ,850,41,63,Applebee's
Smothered Grilled Chicken ,860,41,61,Applebee's
Steakhouse Burger with A.1.® Steak Sauce,1250,84,68,Applebee's
"Trios Boneless Wings, Sweet &amp; spicy sauce",570,28,45,Applebee's
Trios Mozzarella Sticks,430,21,39,Applebee's
Weight Watchers® Cajun Lime Tilapia ,350,5,43,Applebee's
"Apple Walnut Chicken Salad, Regular w/o dressing",470,22,18,Applebee's
Bacon Cheddar Cheeseburger,970,60,51,Applebee's
"Boneless Wings, Honey BBQ",1250,55,16,Applebee's
Bruschetta Chicken ,850,42,56,Applebee's
"California Shrimp Salad, Regular w/o dressing ",380,24,16,Applebee's
Chicken Fajita Rollup,850,62,63,Applebee's
Chicken Tenders Platter ,1320,78,107,Applebee's
Clam Chowder,350,24,22,Applebee's
Crispy Orange Chicken ,1520,53,208,Applebee's
French Dip Sliders,840,49,75,Applebee's
"Fries, Side",390,18,53,Applebee's
Grilled Dijon Chicken &amp; Portobellos,470,16,30,Applebee's
House Salad,120,8,9,Applebee's
Kids Corn Dog,260,14,28,Applebee's
Kids Mini Cheeseburger – 1,430,30,24,Applebee's
Kids Tropicana Fruit Punch (12 oz),70,0,19,Applebee's
Orange Glazed Salmon ,730,17,98,Applebee's
"Oriental Grilled Chicken Salad, Regular",1290,79,92,Applebee's
Provolone-Stuffed Meatballs with Fettuccine ,1520,90,116,Applebee's
"Santa Fe Chicken Salad, Half w/o dressing",760,55,49,Applebee's
Sizzling Chicken with Spicy Queso Blanco,570,22,40,Applebee's
Southwest Jalapeño Burger,1140,72,68,Applebee's
Strawberry Cheesecake Shooter ,380,23,37,Applebee's
Trios Cheese Quesadilla Grande,510,44,31,Applebee's
Trios Pork Wonton Tacos,560,28,48,Applebee's
Weight Watchers® Chipotle Lime Chicken ,490,12,51,Applebee's
Shroom &amp; Swiss,520,28,46,Arby's
Smokin’ Chipotle Chicken*,590,23,60,Arby's
Roast Turkey &amp; Swiss Wrap,500,24,42,Arby's
Potato Cakes (3),390,23,42,Arby's
CapriSun® Fruit Juice,80,0,21,Arby's
Jamocha Oreo® Shake - Small,460,15,85,Arby's
Chocolate Turnover,510,25,67,Arby's
"Ham, Egg &amp; Cheese Croissant",270,14,22,Arby's
Chocolate Chunk Cookies (2),420,21,54,Arby's
Roast Beef Classic,360,14,37,Arby's
Deluxe Bacon Cheddar,430,19,42,Arby's
Roast Chicken Club,460,18,41,Arby's
"Roast Turkey, Ranch &amp; Bacon Sandwich",810,36,78,Arby's
Potato Cakes (4),510,30,57,Arby's
Jamocha Oreo® Swirl Shake - Regular,630,20,115,Arby's
Jr Chocolate Shake,350,9,60,Arby's
Outside-In Cinnamon Bites™,300,15,36,Arby's
Jalapeno Bites® – (5),300,17,31,Arby's
Roast Beef Mild,470,22,38,Arby's
French Dip &amp; Swiss/Au Jus,450,17,51,Arby's
Prime-Cut™ Chicken Tenders (3),360,17,31,Arby's
"Roast Turkey, Ranch &amp; Bacon Wrap",600,32,42,Arby's
Steakhouse Onion Rings (5),460,24,56,Arby's
Vanilla Shake - Small,380,12,60,Arby's
Jr Jamocha Shake,350,9,60,Arby's
Classic Italian Toasted Sub,590,37,47,Arby's
Jalapeno Bites® – (8),470,27,49,Arby's
Roast Beef Max,610,29,46,Arby's
Angus Three Cheese &amp; Bacon Sandwich,660,33,46,Arby's
Prime-Cut™ Chicken Tenders (5),610,28,52,Arby's
Chopped Farmhouse Chicken Salad – Crispy,430,24,30,Arby's
Mozzarella Sticks – (4),440,23,39,Arby's
Vanilla Shake - Regular,480,15,74,Arby's
Jr Vanilla Shake,290,9,45,Arby's
Turkey Bacon Club Toasted Sub,480,21,47,Arby's
Loaded Potato Bites® – (5),350,21,32,Arby's
Arby’s Sauce® Adds,15,0,3,Arby's
Angus Cool Deli Sandwich,640,35,47,Arby's
Tangy Barbeque Sauce Adds,45,0,11,Arby's
Chopped Farmhouse Chicken Salad – Roast,250,13,11,Arby's
Mozzarella Sticks – (6),660,34,59,Arby's
Jr Roast Beef Sandwich,210,8,24,Arby's
Sausage Biscuit,460,31,33,Arby's
Chicken Cordon Bleu – Crispy,620,30,51,Arby's
Loaded Potato Bites® – (8),570,34,51,Arby's
Horsey Sauce® Adds,50,5,3,Arby's
Angus Cool Deli Wrap,620,36,41,Arby's
Buffalo Dipping Sauce Adds,10,1,1,Arby's
Chopped Side Salad,70,5,4,Arby's
Jr Roast Beef,210,8,24,Arby's
1% Lowfat Chocolate Milk*,160,2,28,Arby's
Jr Chicken Sandwich,340,17,33,Arby's
Sausage Gravy Biscuit,460,26,45,Arby's
Chicken Cordon Bleu – Roast,490,21,40,Arby's
Homestyle Fries – Kids,240,10,35,Arby's
Beef'n Cheddar Classic,450,21,43,Arby's
Cravin’ Chicken Sandwich – Crispy,500,21,53,Arby's
Honey Dijon Mustard Sauce Adds,140,13,5,Arby's
Curly Fries – Small,450,24,55,Arby's
Prime-Cut™ Chicken Tenders - (2),240,11,21,Arby's
Chocolate Shake - Small,450,12,75,Arby's
Jr Ham &amp; Cheddar Sandwich,210,6,26,Arby's
Chicken Biscuit*,350,15,39,Arby's
Super Roast Beef,440,20,44,Arby's
Homestyle Fries – Small,360,16,52,Arby's
Beef'n Cheddar Mild,550,28,43,Arby's
Cravin’ Chicken Sandwich – Roast,370,12,42,Arby's
Ranch Dipping Sauce Adds,160,16,2,Arby's
Curly Fries – Medium,600,31,74,Arby's
Curly Fries – Kids,270,14,33,Arby's
Chocolate Shake - Regular,570,15,98,Arby's
Curly Fries – Value,270,14,33,Arby's
"Bacon, Egg &amp; Cheese Biscuit",450,26,34,Arby's
Arby’s Melt,390,16,39,Arby's
Homestyle Fries – Medium,480,21,69,Arby's
Beef'n Cheddar Max,680,37,46,Arby's
Chicken Bacon &amp; Swiss – Crispy,600,28,53,Arby's
Reuben Sandwich,700,32,64,Arby's
Curly Fries – Large,710,37,87,Arby's
Potato Cakes (2),260,15,28,Arby's
Jamocha Shake - Small,440,12,75,Arby's
Apple Turnover,440,17,68,Arby's
"Sausage, Egg &amp; Cheese Wrap",740,47,45,Arby's
Ham &amp; Swiss Melt,300,8,37,Arby's
Homestyle Fries – Large,610,26,86,Arby's
Bacon Beef ‘n Cheddar,520,26,43,Arby's
Chicken Bacon &amp; Swiss – Roast,470,19,43,Arby's
Roast Turkey &amp; Swiss Sandwich,710,28,78,Arby's
Potato Cakes (2),260,15,28,Arby's
Applesauce,80,0,21,Arby's
Jamocha Shake - Regular,570,15,97,Arby's
Cherry Turnover,440,17,67,Arby's
"Ham, Egg &amp; Cheese Sourdough",480,20,46,Arby's
Jr Deluxe Sandwich,270,14,25,Arby's
Bistro Chicken Press,780,41,59,Atlanta Bread Company
Kid’S Grilled Cheese,390,15,46,Atlanta Bread Company
Baked Potato,230,13,23,Atlanta Bread Company
New England Clam Chowder,190,9,16,Atlanta Bread Company
Basil Pesto Pasta,500,10,6,Atlanta Bread Company
French Toast With Maple Syrup,640,11,121,Atlanta Bread Company
Asiago Bagel,390,11,53,Atlanta Bread Company
Olive Cream Cheese,180,17,2,Atlanta Bread Company
Bear Claw,540,24,71,Atlanta Bread Company
Cheese Croissant,360,19,41,Atlanta Bread Company
